subdistrict_name,subdistrict_english_name,subdistrict_area,subdistrict_population_2566,subdistrict_density_2566,district_name,district_english_name
คลองกุ่ม,Khlong Kum,10.811,"66,932","6,191.10",บึงกุ่ม,Bueng Kum
ดอนเมือง,Don Mueang,10.605,"80,406","7,581.90",ดอนเมือง,Don Mueang
ทุ่งสองห้อง,Thung Song Hong,16.886,"71,650","4,243.16",หลักสี่,Lak Si
วัดราชบพิธ,Wat Ratchabophit,0.22,"2,846","12,936.36",พระนคร,Phra Nakhon
บางปะกอก,Bang Pakok,9.066,"46,512","5,130.38",ราษฎร์บูรณะ,Rat Burana
คลองถนน,Khlong Thanon,12.44,"86,151","6,925.32",สายไหม,Sai Mai
คลองสิบ,Khlong Sip,30.849,"9,611",311.55,หนองจอก,Nong Chok
คันนายาว,Khan Na Yao,12.917,"47,151","3,650.31",คันนายาว,Khan Na Yao
ประเวศ,Prawet,22.805,"87,916","3,855.12",ประเวศ,Prawet
ศาลาธรรมสพน์,Sala Thammasop,28.698,"55,970","1,950.31",ทวีวัฒนา,Thawi Watthana
วงศ์สว่าง,Wong Sawang,5.783,"41,357","7,151.48",บางซื่อ,Bang Sue
บางโพงพาง,Bang Phongphang,6.678,"27,018","4,045.82",ยานนาวา,Yan Nawa
ทับยาว,Thap Yao,25.834,"32,060","1,241.00",ลาดกระบัง,Lat Krabang
สีกัน,Si Kan,11.534,"63,264","5,485.00",ดอนเมือง,Don Mueang
สนามบิน,Sanambin,14.664,"22,271","1,518.75",ดอนเมือง,Don Mueang
ออเงิน,O Ngoen,13.516,"44,067","3,260.36",สายไหม,Sai Mai
คลองสิบสอง,Khlong Sip Song,38.867,"12,175",313.25,หนองจอก,Nong Chok
สุริยวงศ์,Suriyawong,0.82,"4,172",,บางรัก,Bang Rak
ห้วยขวาง,Huai Khwang,,,,ห้วยขวาง,Huai Khwang
บางลำภูล่าง,Bang Lamphu Lang,2.234,,,คลองสาน,Khlong San
เสนานิคม,Sena Nikhom,2.826,"20,317",,จตุจักร,Chatuchak
คลองตันเหนือ,Khlong Tan Nuea,,,,วัฒนา,Vadhana
สวนจิตรลดา,Suan Chit Lada,1.737,"5,917",,ดุสิต,Dusit
วัดพระยาไกร,Wat Phraya Krai,,,,บางคอแหลม,Bang Kho Laem
บางชัน,Bang Chan,18.644,"91,058",,คลองสามวา,Khlong Sam Wa
บางจาก,Bang Chak,,,,พระโขนง,Phra Khanong
คลองเตย,Khlong Toei,,,,คลองเตย,Khlong Toei
บางนาใต้,Bang Na Tai,,,,บางนา,Bang Na
สี่พระยา,Si Phraya,1.064,"10,160",,บางรัก,Bang Rak
คลองมหานาค,Khlong Maha Nak,0.448,"8,073",,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai
บางค้อ,Bang Kho,3.375,,,จอมทอง,Chom Thong
บางจาก,Bang Chak,1.394,"7,940",,ภาษีเจริญ,Phasi Charoen
บางนาเหนือ,Bang Na Nuea,,,,บางนา,Bang Na
คลองต้นไทร,Khlong Ton Sai,1.773,,,คลองสาน,Khlong San
จอมพล,Chomphon,5.488,"35,336",,จตุจักร,Chatuchak
บางหว้า,Bang Wa,5.105,"38,106",,ภาษีเจริญ,Phasi Charoen
บางยี่ขัน,Bang Yi Khan,2.886,,,บางพลัด,Bang Phlat
ลาดยาว,Lat Yao,10.69,"39,304",,จตุจักร,Chatuchak
คลองขวาง,Khlong Khwang,2.992,"10,510",,ภาษีเจริญ,Phasi Charoen
บ้านบาตร,Ban Bat,0.251,"5,743",,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai
สามวาตะวันออก,Sam Wa Tawan Ok,40.574,"27,025",,คลองสามวา,Khlong Sam Wa
สมเด็จเจ้าพระยา,Somdet Chao Phraya,1.317,,,คลองสาน,Khlong San
บางไผ่,Bang Phai,14.67,,,บางแค,Bang Khae
หลักสอง,Lak Song,11.24,,,บางแค,Bang Khae
วัดโสมนัส,Wat Sommanat,0.35,"6,255",,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai
